Unnamed: 0,model,price,rating,processor,core,ram,memory,graphic_card,display,os,warrenty
0,Lenovo V15 G4 ‎83CR000VIN Laptop (AMD Ryzen 7 7730U/ 16GB/ 512GB SSD/ Win11 Home),"₹39,990",4.5,7th Gen AMD Ryzen 7 7730U,"Octa Core, 16 Threads",16 GB DDR4 RAM,512 GB SSD,AMD Radeon Graphics,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
1,Samsung Galaxy Book 4 NP750XGJ-LG4IN Laptop (13th Gen Intel Core i3-1315U/ 8GB/ 512GB SSD/ Win11),"₹36,990",4.4,13th Gen Intel Core i3 1315U,"Hexa Core (2P + 4E), 8 Threads",8 GB LPDDR4x RAM,512 GB SSD,Intel Graphics,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
2,HP 15-fc0154AU Laptop (AMD Ryzen 3 7320U/ 8GB/ 512GB SSD/ Win11 Home),"₹30,290",4.7,7th Gen AMD Ryzen 3 7320U,"Quad Core, 8 Threads",8 GB DDR5 RAM,512 GB SSD,AMD Radeon AMD,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
3,MSI Titan 18 HX Gaming Laptop (Intel Core Ultra 9-285HX / 32GB/ 1TB SSD/ Win11 Home/ RTX 5070),"₹3,59,900",4.75,Intel Core Ultra 9 285HX,"24 Cores (8P + 16E), 24 Threads",32 GB DDR5 RAM,1 TB SSD,12 GB NVIDIA GeForce RTX 5070,"18 inches, 3840 x 2400 pixels",Windows 11 OS,3 Year Warranty
4,Asus Vivobook 16X 2023 K3605ZC-MBN544WS Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 4GB RTX3050),"₹59,140",4.1,12th Gen Intel Core i5 12500H,"12 Cores (4P + 8E), 16 Threads",16 GB DDR4 RAM,512 GB SSD,4 GB NVIDIA GeForce RTX 3050,"16 inches, 1920 x 1200 pixels",Windows 11 OS,1 Year Warranty
5,HP Victus 15-fb0112AX Gaming Laptop (AMD Ryzen 5 5600H/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),"₹59,990",4.15,5th Gen AMD Ryzen 5 5600H,"Hexa Core, 12 Threads",16 GB DDR4 RAM,512 GB SSD,4 GB NVIDIA GeForce RTX 3050,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
6,HP B12V5PT Laptop (13th Gen Core i3/ 16GB/ 512GB SSD/ Win11),"₹33,249",4.7,13th Gen Intel Core i3 1315U,"Hexa Core (2P + 4E), 8 Threads",16 GB DDR4 RAM,512 GB SSD,Intel Integrated Graphics,"15.6 inches, 1366 x 768 pixels",Windows 11 OS,1 Year Warranty
7,Infinix INBook Y3 Max Series YL613 Laptop (12th Gen Core i3/ 16GB/ 256GB SSD/ Win 11),"₹24,999",4.4,12th Gen Intel Core i3 1215U,"Hexa Core (2P + 4E), 8 Threads",16 GB LPDDR4X RAM,256 GB SSD,Intel Integrated UHD,"16 inches, 1920 x 1200 pixels",Windows 11 OS,1 Year Warranty
8,Lenovo LOQ 2024 83GS003VIN Gaming Laptop (Intel Core i5/ 16GB/ 512GB SSD/ Win11/ 6GB RTX 4050 Graph),"₹72,990",4.15,12th Gen Intel Core i5 12450HX,"Octa Core (4P + 4E), 12 Threads",16 GB DDR5 RAM,512 GB SSD,6 GB NVIDIA GeForce RTX 4050,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
9,Lenovo LOQ 15IRX9 83DV00LXIN Gaming Laptop (13th Gen Core i7/ 24GB/ 512GB SSD/ Win11/ 8GB RTX4060),"₹99,990",4.4,13th Gen Intel Core i7 13650HX,14 Cores (6P + 8E),24 GB DDR5 RAM,512 GB SSD,8 GB NVIDIA GeForce RTX 4060,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
10,MSI Titan 18 HX AI A2XWIG Gaming Laptop (Intel Core Ultra 9-285HX/ 96GB/ 4TB SSD/ Win11 Pro/ 16GB Graphics RTX 5080),"₹4,99,999",4.55,Intel Core Ultra 9 285HX,"24 Cores (8P + 16E), 24 Threads",96 GB DDR5 RAM,4 TB SSD,16 GB NVIDIA GeForce RTX 5080,"18 inches, 3840 x 2400 pixels",Windows 11 OS,3 Year Warranty
11,Samsung Galaxy Book 5 Pro 360 Laptop (Intel Core Ultra 7 Series 2/ 16GB/ 1TB SSD/ Win11),"₹1,49,990",4.75,Intel Core Ultra 7 Series 2 256V,16 GB LPDDR5X RAM,1 TB SSD,Intel Arc 140V GPU,"16 inches, 2880 x 1800 pixels, Touch Screen",Windows 11 OS,1 Year Warranty,Backlit Keyboard
12,Acer Swift Go 14 SFG14-41 NX.KG3SI.006 Laptop (AMD Ryzen 5 7430U / 16GB/ 512GB SSD/ Win11 Pro),"₹39,990",4.3,7th Gen AMD Ryzen 5 7430U,"Hexa Core, 12 Threads",16 GB  RAM,512 GB SSD,AMD Radeon Graphics,"14 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
13,Infinix GT Book GL613 Gaming Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win 11 Home/ 6GB RTX 3050 Graphics),"₹53,990",4.7,12th Gen Intel Core i5 12450H,"Octa Core (4P + 4E), 12 Threads",16 GB LPDDR5X RAM,512 GB SSD,6 GB NVIDIA GeForce RTX 3050,"16 inches, 1920 x 1200 pixels",Windows 11 OS,1 Year Warranty
